PassengerId,Survived,Age,SibSp,Parch,Fare,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3
1,0,22.0,1,0,7.25,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,1,38.0,1,0,71.2833,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3,1,26.0,0,0,7.925,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
4,1,35.0,1,0,53.1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
5,0,35.0,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
6,0,23.828952586083506,0,0,8.4583,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
7,0,54.0,0,0,51.8625,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8,0,2.0,3,1,21.075,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
9,1,27.0,0,2,11.1333,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
10,1,14.0,1,0,30.0708,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11,1,4.0,1,1,16.7,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
12,1,58.0,0,0,26.55,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
13,0,20.0,0,0,8.05,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
14,0,39.0,1,5,31.275,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
15,0,14.0,0,0,7.8542,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
16,1,55.0,0,0,16.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
